entry_i,entry_p,atr,tp,sl,hp_i,slope,intercept,resist_s,tl_err,max_dist,vol,adx,exit_i,exit_p,return
2875,2.3123114,0.0017007705263065696,2.31741372248285,2.307209099325011,2935,-3.218085821698025e-05,2.3126938343048096,-0.018921340486105966,0.06035788167163953,0.16570589978127218,0.7266576377243259,33.78687260431309,2935.0,2.3127832,0.00047183037
2939,2.3127995,0.0014441838962948902,2.317132005424236,2.308466902046467,2999,-3.270773592198627e-05,2.313266499266158,-0.022647902393801256,0.07179617449883213,0.13513484671942994,0.038807397271353614,19.070250368090907,2999.0,2.3132243,0.0004248619
3000,2.313329,0.0012391237650775998,2.317046352694769,2.3096116101043034,3060,-2.4344150886769907e-06,2.3133297971138687,-0.0019646262603352912,0.05934149479648855,0.17127428491803381,2.9320393030150087,14.551692740145265,3060.0,2.3131597,-0.00016927719
3063,2.3132765,0.0011837266641577695,2.316827709304607,2.3097253493196606,3123,-6.058949346733594e-06,2.313294820232231,-0.005118537522380289,0.05907314497256488,0.16381924000094392,0.760296591202338,12.993876433164338,3123.0,2.3128157,-0.0004608631
3124,2.3128319,0.0011228926856614394,2.3162005567190938,2.309463200605125,3184,3.2617767923547907e-06,2.3127700013236376,0.002904798324902653,0.12288693577368415,0.24740867426436952,0.9283067496034658,30.79395812629667,3184.0,2.3124661,-0.0003657341
3185,2.3125882,0.001090826539864408,2.315860694493861,2.3093157352546743,3245,-3.3108384658401006e-06,2.3126165278657025,-0.0030351649367200443,0.11288543114529341,0.3601239418722376,3.100185447592735,13.334310345822958,3245.0,2.3128521,0.00026392937
3246,2.3129373,0.0010330623074156643,2.3160364465963195,2.309838072751825,3306,6.7338680436095175e-06,2.3128036987764746,0.006518356148773967,0.04350639401904227,0.12808180415406784,21.934004699424158,29.529486915003652,3306.0,2.3127508,-0.00018644333
3310,2.3128238,0.0008737346429870955,2.315444976359381,2.3102025685014587,3370,-2.0677270034473157e-05,2.3131173073267473,-0.023665388800176657,0.0486134030733388,0.1591341401751915,0.04784350865976339,34.87549478432293,3370.0,2.3126695,-0.00015425682
3383,2.312568,0.0007305869829016598,2.3147597102437487,2.310376188346339,3443,-1.3075429690422179e-05,2.3127479681878835,-0.017897156665029425,0.04963313398696377,0.12488469355555508,0.39387896333859534,13.12809500622885,3443.0,2.3128157,0.0002477169
3444,2.313006,0.000663390268513644,2.3149960950303945,2.3110157534193125,3504,2.4830341546574e-05,2.3124680414170786,0.0374294630552955,0.08250898709075394,0.25305804187189224,183.76673562035148,19.215570348441727,3504.0,2.3132687,0.00026273727
3508,2.3133693,0.0007404063098443458,2.3155904930689375,2.311148055209871,3568,-9.73293441684768e-06,2.3134855379513533,-0.013145396368777321,0.1389214014700005,0.30386381237967575,0.32402770509926976,20.8089469699514,3568.0,2.3140078,0.00063848495
3579,2.3139038,0.0007456909693474065,2.3161408815017923,2.3116667356857077,3639,-1.5255619445930177e-05,2.314095239695069,-0.02045836690134678,0.1408978980027166,0.31586615385601446,0.06528432596817575,20.04130677442854,3639.0,2.3138878,-1.5974045e-05
3640,2.3139076,0.0007478041695456367,2.3161510357996526,2.3116642107823786,3700,-2.1682727468581885e-06,2.3139279430236144,-0.002899519466674843,0.08065197418125043,0.258368539626062,5.9779126207943225,10.19866995748958,3700.0,2.3135102,-0.00039744377
3701,2.3138196,0.0007499947909464185,2.3160696312081663,2.311569662462488,3761,1.8867810505722393e-05,2.3133570165636,0.025157255401618325,0.1505171312290841,0.33874365544820645,46.739789695668065,28.372601701864433,3761.0,2.315216,0.0013964176
3767,2.3154054,0.0009804736434665807,2.3183467897353314,2.312463947874532,3827,3.3406273565662648e-06,2.3151845932006836,0.0034071567133157,0.0908668504146097,0.23733356016535598,30.610860033536024,35.484455777523344,3827.0,2.314614,-0.00079131126
3829,2.314753,0.0010135886536054687,2.3177938215333262,2.3117122896116933,3889,-2.7562626871384217e-05,2.3150916749080768,-0.027193109130948055,0.15098840513967274,0.2936072218550638,3.5351387729008947,26.49257249570505,3889.0,2.3143353,-0.00041770935
3890,2.314419,0.001089139508337094,2.3176864496681997,2.3111516126181773,3950,-4.713191263967789e-05,2.3149852138230442,-0.04327444948869703,0.13764992955606603,0.35172464883827276,1.4823936241568954,25.832261890424654,3950.0,2.3142357,-0.00018334389
3952,2.314415,0.0011145723366743944,2.3177586950373668,2.3110712610173207,4012,-2.7152872948966314e-05,2.314693528275902,-0.024361696460172076,0.11128599846223972,0.23558471273538756,0.6217619692017343,15.514950497824678,4012.0,2.3151293,0.00071430206
4026,2.3146656,0.0011384098184456268,2.3180807854093164,2.3112503264986426,4086,-4.707146552893305e-05,2.3153629036725483,-0.041348436008048446,0.11884470391805735,0.17921112647354748,5.685436522879114,20.084744828323892,4086.0,2.3147967,0.00013113022
4093,2.3145545,0.001122734789007269,2.31792265726314,2.311186248529096,4153,-4.8672134400043704e-05,2.3152209718017605,-0.043351408432867736,0.07908734007403363,0.22157931973663442,0.46148410731662015,17.168687793856982,4153.0,2.3141878,-0.00036668777
4159,2.3140879,0.0010960788032199978,2.317376104146476,2.3107996313271566,4219,-3.415761930481034e-05,2.3145372091276184,-0.031163470367699873,0.07488523806321108,0.25704994675276926,1.0475685496962452,18.909078499448817,4219.0,2.3141718,8.392334e-05
4221,2.3142037,0.0009893684263885885,2.3171718444454257,2.311235633887094,4281,-2.8854859395610357e-06,2.314199307065218,-0.002916492847961291,0.08958666424204463,0.2258977086980369,1.4198122102026631,10.629076962850885,4281.0,2.3152792,0.0010755062
4284,2.3158886,0.0009612138534704015,2.3187722848251817,2.3130050017043593,4344,5.909086138348419e-05,2.3147750841793115,0.0614752494152476,0.125005879847942,0.2746735284315677,123.97656949175298,48.46685909402346,4344.0,2.3149471,-0.00094151497
4346,2.315054,0.0010045732031118723,2.3180676594286718,2.31204022021,4406,-1.3605571866892778e-06,2.315055862880827,-0.0013543634077384026,0.05482075191079858,0.10903400316829383,4.3530891793551625,16.56120305999484,4406.0,2.314761,-0.00029301643
4407,2.3147967,0.0010040751893016894,2.3178089117403906,2.31178446060458,4467,1.689240037069861e-05,2.3145244297804304,0.016823840037763382,0.038095904704109285,0.12934917837101115,2.6318406026555823,19.74693855755393,4467.0,2.314963,0.00016641617
4474,2.3150423,0.0009871540786242985,2.3180037195448326,2.3120807950730873,4534,-2.8314729528260925e-05,2.315331163545446,-0.028683191551738745,0.06394751218594819,0.1952069058632842,0.2590086559874354,10.668130229012313,4534.0,2.3154683,0.000426054
4542,2.3156414,0.0008926610893006866,2.318319386466144,2.31296341993034,4602,1.781667981831692e-05,2.315343594551086,0.01995906400745501,0.13384642694263238,0.25196267459273125,44.1311125254432,25.354246993674032,4602.0,2.3150778,-0.0005636215
4603,2.3151054,0.0008075835371717534,2.317528188843937,2.3126826876209066,4663,-1.256647959924747e-05,2.315243721008301,-0.015560594069632309,0.1067079367205031,0.19805946495333815,3.4190563218890966,16.772857663687827,4663.0,2.316956,0.001850605
4671,2.3173077,0.0010060761573498383,2.3203259391196327,2.3142894821755333,4731,7.474118300979039e-06,2.3170385971971914,0.0074289786577062256,0.21545249327490198,0.5375283559456816,80.59852387889403,65.66048390504406,4731.0,2.3176887,0.0003809929
4733,2.317796,0.0012804360309564377,2.3216372999904524,2.3139546838047136,4793,-4.007386260213917e-05,2.318199693175941,-0.031297043845451226,0.12127999502328018,0.33508564695482596,6.394880368274368,39.66564664848651,4793.0,2.318236,0.0004401207
4794,2.3183162,0.0011442486344956841,2.3217489671406697,2.3148834753336955,4854,5.7575608291078695e-06,2.318155506742997,0.005031739305195199,0.11079830957052317,0.21531383801152562,0.01234878977910886,14.768433777141553,4854.0,2.3182592,-5.698204e-05
